Time,Imbalance Purchase Price,Imbalance,Solar,Wind,Consumption Total
01.01.2022/00:00,90.0,-18.177013,0.007103,143.012268,4792.869828
01.01.2022/01:00,98.0,-59.943565,0.006957,172.359272,4758.08574
01.01.2022/02:00,132.08,-75.072958,0.005352,151.651271,4699.710585
01.01.2022/03:00,111.44,-63.208075,0.011802,160.572272,4660.590629
01.01.2022/04:00,112.35,-20.137965,0.00687,148.140274,4673.579369
01.01.2022/05:00,113.9,2.829898,0.007361,147.788267,4726.909882
01.01.2022/06:00,93.0,27.044565,0.004673,126.612263,4857.030848
01.01.2022/07:00,83.0,81.336011,0.004582,98.503259,4932.794613
01.01.2022/08:00,60.0,64.83579,0.008858,61.765257,5067.692675
01.01.2022/09:00,60.0,134.624681,0.005348,46.579256,5178.555808
01.01.2022/10:00,83.0,107.983001,0.007155,31.795261,5344.532619
01.01.2022/11:00,89.0,62.791115,0.012957,16.97026,5443.009105
01.01.2022/12:00,65.0,102.160266,0.011638,34.76226,5461.777621
01.01.2022/13:00,50.21,142.797803,0.007154,59.662264,5432.608459
01.01.2022/14:00,56.0,60.464067,0.007583,100.916268,5520.141749
01.01.2022/15:00,105.0,10.729099,0.004855,122.153272,5592.657353
01.01.2022/16:00,102.0,46.118898,0.010271,138.581274,5723.608623
01.01.2022/17:00,102.0,59.415635,0.005045,132.380276,5764.442332
01.01.2022/18:00,102.0,128.22637,0.006447,181.219278,5666.743174
01.01.2022/19:00,80.0,182.781105,0.008288,190.451272,5539.533323
01.01.2022/20:00,80.0,95.138804,0.008986,187.490275,5406.236231
01.01.2022/21:00,42.95,82.818672,0.010995,181.885278,5265.106133
01.01.2022/22:00,42.48,76.390662,0.007341,169.192278,5077.110645
01.01.2022/23:00,28.0,83.003049,0.007812,165.865279,4933.082405
02.01.2022/00:00,27.0,-101.891323,0.003767,153.636273,4759.141913
02.01.2022/01:00,111.66,-80.343759,0.003884,84.735259,4576.572465
02.01.2022/02:00,106.53,-68.346416,0.003211,43.907255,4483.517701
02.01.2022/03:00,104.5,-67.274526,0.008248,26.980256,4464.900629
02.01.2022/04:00,75.0,-27.745108,0.003983,29.713253,4409.555695
02.01.2022/05:00,27.0,-16.066986,0.00235,32.499,4419.316034
02.01.2022/06:00,27.0,46.226143,0.002093,28.814,4493.40703
02.01.2022/07:00,64.0,26.064615,0.003478,30.084,4580.526131
02.01.2022/08:00,70.0,49.980034,0.003281,30.676256,4702.290387
02.01.2022/09:00,70.0,71.068379,0.006497,31.560259,4848.878085
02.01.2022/10:00,90.0,114.169444,0.004277,30.924,4974.353688
02.01.2022/11:00,121.3,73.99049,0.006092,27.352,5093.477204
02.01.2022/12:00,112.43,8.225467,0.006589,27.801,5148.657176
02.01.2022/13:00,111.39,-5.082276,0.006479,42.594,5158.720295
02.01.2022/14:00,126.0,10.797508,0.003301,41.723262,5189.408249
02.01.2022/15:00,141.0,27.470744,0.005073,49.707269,5301.057149
02.01.2022/16:00,140.16,55.462507,0.002642,64.122266,5421.750681
02.01.2022/17:00,144.5,121.353455,0.003435,73.450267,5397.062737
02.01.2022/18:00,144.5,194.32949,0.003388,85.504271,5290.845745
02.01.2022/19:00,144.5,286.582086,0.004982,114.225273,5181.635913
02.01.2022/20:00,30.0,248.30152,0.003517,125.277273,5161.200101
02.01.2022/21:00,27.0,225.097415,0.004471,119.775272,5079.907323
02.01.2022/22:00,27.0,212.571379,0.007516,127.164274,4932.426194
02.01.2022/23:00,24.5,366.047252,0.003126,134.657271,4747.048809
03.01.2022/00:00,15.0,307.46564,0.005087,134.148271,4538.806232
03.01.2022/01:00,15.0,396.799794,0.005279,139.734268,4408.369566
03.01.2022/02:00,12.0,379.563156,0.003921,146.728269,4328.057524
03.01.2022/03:00,12.0,392.964655,0.003267,140.263272,4295.678776
